experiment,model,cohort,symbol,n,schema_and_literal_evidence_valid,exact_fact_set,fact_tp,fact_fp,fact_fn,precision,recall,no_event_n,no_event_false_positive,annotation_status,note,event_presence_tp,event_presence_fp,event_presence_fn
ordinary,rule,all_check,ALL,122,122,95,8,29,15,0.21621621621621623,0.34782608695652173,100,10,ASSISTANT_PROVISIONAL_NOT_INDEPENDENT,Literal evidence checks do not establish semantic support. Exact metric ignores evidence-id identity to allow alternate supporting sentences.,17,10,5
ordinary,rule,all_check,AAPL,73,73,52,6,25,11,0.1935483870967742,0.35294117647058826,56,8,ASSISTANT_PROVISIONAL_NOT_INDEPENDENT,Literal evidence checks do not establish semantic support. Exact metric ignores evidence-id identity to allow alternate supporting sentences.,13,8,4
ordinary,rule,all_check,AMZN,49,49,43,2,4,4,0.3333333333333333,0.3333333333333333,44,2,ASSISTANT_PROVISIONAL_NOT_INDEPENDENT,Literal evidence checks do not establish semantic support. Exact metric ignores evidence-id identity to allow alternate supporting sentences.,4,2,1
ordinary,rule,original_check,ALL,98,98,84,2,16,5,0.1111111111111111,0.2857142857142857,92,9,ASSISTANT_PROVISIONAL_NOT_INDEPENDENT,Literal evidence checks do not establish semantic support. Exact metric ignores evidence-id identity to allow alternate supporting sentences.,5,9,1
ordinary,rule,original_check,AAPL,49,49,41,0,12,1,0.0,0.0,48,7,ASSISTANT_PROVISIONAL_NOT_INDEPENDENT,Literal evidence checks do not establish semantic support. Exact metric ignores evidence-id identity to allow alternate supporting sentences.,1,7,0
ordinary,rule,original_check,AMZN,49,49,43,2,4,4,0.3333333333333333,0.3333333333333333,44,2,ASSISTANT_PROVISIONAL_NOT_INDEPENDENT,Literal evidence checks do not establish semantic support. Exact metric ignores evidence-id identity to allow alternate supporting sentences.,4,2,1
ordinary,rule,enriched_check,ALL,24,24,11,6,13,10,0.3157894736842105,0.375,8,1,ASSISTANT_PROVISIONAL_NOT_INDEPENDENT,Literal evidence checks do not establish semantic support. Exact metric ignores evidence-id identity to allow alternate supporting sentences.,12,1,4
ordinary,rule,enriched_check,AAPL,24,24,11,6,13,10,0.3157894736842105,0.375,8,1,ASSISTANT_PROVISIONAL_NOT_INDEPENDENT,Literal evidence checks do not establish semantic support. Exact metric ignores evidence-id identity to allow alternate supporting sentences.,12,1,4
ordinary,frozen,all_check,ALL,122,9,0,0,18,23,0.0,0.0,100,6,ASSISTANT_PROVISIONAL_NOT_INDEPENDENT,Literal evidence checks do not establish semantic support. Exact metric ignores evidence-id identity to allow alternate supporting sentences.,3,6,19
ordinary,frozen,all_check,AAPL,73,6,0,0,12,17,0.0,0.0,56,3,ASSISTANT_PROVISIONAL_NOT_INDEPENDENT,Literal evidence checks do not establish semantic support. Exact metric ignores evidence-id identity to allow alternate supporting sentences.,3,3,14
ordinary,frozen,all_check,AMZN,49,3,0,0,6,6,0.0,0.0,44,3,ASSISTANT_PROVISIONAL_NOT_INDEPENDENT,Literal evidence checks do not establish semantic support. Exact metric ignores evidence-id identity to allow alternate supporting sentences.,0,3,5
ordinary,frozen,original_check,ALL,98,5,0,0,10,7,0.0,0.0,92,5,ASSISTANT_PROVISIONAL_NOT_INDEPENDENT,Literal evidence checks do not establish semantic support. Exact metric ignores evidence-id identity to allow alternate supporting sentences.,0,5,6
ordinary,frozen,original_check,AAPL,49,2,0,0,4,1,0.0,0.0,48,2,ASSISTANT_PROVISIONAL_NOT_INDEPENDENT,Literal evidence checks do not establish semantic support. Exact metric ignores evidence-id identity to allow alternate supporting sentences.,0,2,1
ordinary,frozen,original_check,AMZN,49,3,0,0,6,6,0.0,0.0,44,3,ASSISTANT_PROVISIONAL_NOT_INDEPENDENT,Literal evidence checks do not establish semantic support. Exact metric ignores evidence-id identity to allow alternate supporting sentences.,0,3,5
