model,phase,cohort,symbol,n,schema_and_literal_evidence_valid,exact_fact_set,fact_tp,fact_fp,fact_fn,precision,recall,no_event_n,no_event_false_positive,annotation_status,note,f1
old_frozen,valid,all,ALL,87,7,0,0,14,20,0.0,0.0,68,4,ASSISTANT_PROVISIONAL_NOT_INDEPENDENT,Literal evidence checks do not establish semantic support. Exact metric ignores evidence-id identity to allow alternate supporting sentences.,0.0
old_frozen,valid,all,AAPL,57,4,0,0,8,20,0.0,0.0,38,1,ASSISTANT_PROVISIONAL_NOT_INDEPENDENT,Literal evidence checks do not establish semantic support. Exact metric ignores evidence-id identity to allow alternate supporting sentences.,0.0
old_frozen,valid,all,AMZN,30,3,0,0,6,0,0.0,,30,3,ASSISTANT_PROVISIONAL_NOT_INDEPENDENT,Literal evidence checks do not establish semantic support. Exact metric ignores evidence-id identity to allow alternate supporting sentences.,0.0
old_frozen,check,all,ALL,122,9,0,0,18,23,0.0,0.0,100,6,ASSISTANT_PROVISIONAL_NOT_INDEPENDENT,Literal evidence checks do not establish semantic support. Exact metric ignores evidence-id identity to allow alternate supporting sentences.,0.0
old_frozen,check,all,AAPL,73,6,0,0,12,17,0.0,0.0,56,3,ASSISTANT_PROVISIONAL_NOT_INDEPENDENT,Literal evidence checks do not establish semantic support. Exact metric ignores evidence-id identity to allow alternate supporting sentences.,0.0
old_frozen,check,all,AMZN,49,3,0,0,6,6,0.0,0.0,44,3,ASSISTANT_PROVISIONAL_NOT_INDEPENDENT,Literal evidence checks do not establish semantic support. Exact metric ignores evidence-id identity to allow alternate supporting sentences.,0.0
old_frozen,check,original,ALL,98,5,0,0,10,7,0.0,0.0,92,5,ASSISTANT_PROVISIONAL_NOT_INDEPENDENT,Literal evidence checks do not establish semantic support. Exact metric ignores evidence-id identity to allow alternate supporting sentences.,0.0
old_frozen,check,original,AAPL,49,2,0,0,4,1,0.0,0.0,48,2,ASSISTANT_PROVISIONAL_NOT_INDEPENDENT,Literal evidence checks do not establish semantic support. Exact metric ignores evidence-id identity to allow alternate supporting sentences.,0.0
old_frozen,check,original,AMZN,49,3,0,0,6,6,0.0,0.0,44,3,ASSISTANT_PROVISIONAL_NOT_INDEPENDENT,Literal evidence checks do not establish semantic support. Exact metric ignores evidence-id identity to allow alternate supporting sentences.,0.0
old_frozen,check,enriched,ALL,24,4,0,0,8,16,0.0,0.0,8,1,ASSISTANT_PROVISIONAL_NOT_INDEPENDENT,Literal evidence checks do not establish semantic support. Exact metric ignores evidence-id identity to allow alternate supporting sentences.,0.0
